assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
84694321,22679393,Polyplectron schleiermacheri,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Polyplectron,schleiermacheri,,,,"Brüggemann, 1877",Endangered,C2a(i),3.1,Decreasing,Global
84727794,22715775,Liocichla steerii,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,LEIOTRICHIDAE,Liocichla,steerii,,,,"Swinhoe, 1877",Least Concern,,3.1,Decreasing,Global
85854649,22678664,Tetraogallus caspius,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Tetraogallus,caspius,,,,"(Gmelin, 1784)",Least Concern,,3.1,Decreasing,Global
85855433,22678707,Alectoris barbara,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Alectoris,barbara,,,,"(Reichenow, 1896)",Least Concern,,3.1,Decreasing,Global
85924042,22678652,Ammoperdix griseogularis,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Ammoperdix,griseogularis,,,,"(Brandt, 1843)",Least Concern,,3.1,Stable,Global
85926819,45100023,Phasianus colchicus,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Phasianus,colchicus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
85929015,22678911,Perdix perdix,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Perdix,perdix,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
85936486,22679494,Bonasa bonasia,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Bonasa,bonasia,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
85942729,22679487,Tetrao urogallus,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Tetrao,urogallus,,,,"Linnaeus, 1758",Least Concern,,3.1,Decreasing,Global
85944601,22679480,Lyrurus tetrix,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Lyrurus,tetrix,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
85946855,22679839,Cygnus olor,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Cygnus,olor,,,,"(Gmelin, 1789)",Least Concern,,3.1,Increasing,Global
85965262,22679856,Cygnus cygnus,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Cygnus,cygnus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
85978254,22679872,Anser brachyrhynchus,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Anser,brachyrhynchus,,,,"Baillon, 1834",Least Concern,,3.1,Increasing,Global
85980652,22679881,Anser albifrons,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Anser,albifrons,,,,"(Scopoli, 1769)",Least Concern,,3.1,Unknown,Global
85991357,22680465,Mergellus albellus,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Mergellus,albellus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
86011049,22680003,Tadorna ferruginea,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Tadorna,ferruginea,,,,"(Pallas, 1764)",Least Concern,,3.1,Unknown,Global
86012189,22680348,Netta rufina,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Netta,rufina,,,,"(Pallas, 1773)",Least Concern,,3.1,Unknown,Global
86013549,22680391,Aythya fuligula,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Aythya,fuligula,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
86016410,22680313,Spatula querquedula,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Spatula,querquedula,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
86020572,22680149,Mareca strepera,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Mareca,strepera,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Increasing,Global
