internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
22679480,Lyrurus tetrix,"Tetrao tetrix Linnaeus, 1758",Tetrao,tetrix,"Linnaeus, 1758",,
22680465,Mergellus albellus,Mergus albellus albellus Cramp and Simmons (1977-1994),Mergus albellus,albellus,Cramp and Simmons (1977-1994),,
22680465,Mergellus albellus,Mergus albellus,Mergus albellus,,AERC TAC (2003),,
22680313,Spatula querquedula,"Anas querquedula Linnaeus, 1758",Anas,querquedula,"Linnaeus, 1758",,
22680149,Mareca strepera,"Anas strepera Linnaeus, 1758",Anas,strepera,"Linnaeus, 1758",,
22686774,Tachymarptis melba,Apus melba AERC TAC (2003),Apus,melba,AERC TAC (2003),,
22686774,Tachymarptis melba,"Apus melba ssp. melba Dowsett and Forbes-Watson, (1993)",Apus,melba,,subspecies,"Dowsett and Forbes-Watson, (1993)"
22686774,Tachymarptis melba,Apus melba ssp. melba AOU checklist (1998 + supplements),Apus,melba,,subspecies,AOU checklist (1998 + supplements)
22686774,Tachymarptis melba,Apus melba ssp. melba Cramp and Simmons (1977-1994),Apus,melba,,subspecies,Cramp and Simmons (1977-1994)
22692663,Zapornia parva,"Porzana parva (Scopoli, 1769)",Porzana,parva,"(Scopoli, 1769)",,
22693906,Eudromias morinellus,Charadrius morinellus,Charadrius morinellus,,AERC TAC (2003),,
22693906,Eudromias morinellus,Charadrius morinellus morinellus Dowsett and Forbes-Watson (1993),Charadrius morinellus,morinellus,Dowsett and Forbes-Watson (1993),,
22693906,Eudromias morinellus,Charadrius morinellus morinellus Cramp and Simmons (1977-1994),Charadrius morinellus,morinellus,Cramp and Simmons (1977-1994),,
22693906,Eudromias morinellus,Charadrius morinellus morinellus AOU checklist (1998 + supplements),Charadrius morinellus,morinellus,AOU checklist (1998 + supplements),,
22693983,Vanellus spinosus,"Hoplopterus spinosus Linnaeus, 1758 — Cramp & Simmons (1977-1994)",Hoplopterus,spinosus,"Linnaeus, 1758 — Cramp & Simmons (1977-1994)",,
22693983,Vanellus spinosus,"Hoplopterus spinosus Linnaeus, 1758 — AERC TAC (2003)",Hoplopterus,spinosus,"Linnaeus, 1758 — AERC TAC (2003)",,
22693468,Calidris pugnax,"Philomachus pugnax (Linnaeus, 1758)",Philomachus,pugnax,"(Linnaeus, 1758)",,
22693468,Calidris pugnax,"Tringa pugnax Linnaeus, 1758",Tringa,pugnax,"Linnaeus, 1758",,
22693264,Actitis hypoleucos,Tringa hypoleucos hypoleucos Cramp and Simmons (1977-1994),Tringa hypoleucos,hypoleucos,Cramp and Simmons (1977-1994),,
22693264,Actitis hypoleucos,Tringa hypoleucos hypoleucos Turbott (1990),Tringa hypoleucos,hypoleucos,Turbott (1990),,
22693264,Actitis hypoleucos,"Tringa hypoleucos hypoleucos Sibley and Monroe (1990, 1993)",Tringa hypoleucos,hypoleucos,"Sibley and Monroe (1990, 1993)",,
22711750,Poecile cinctus,Poecile cincta cincta AOU checklist (1998 + supplements),Poecile cincta,cincta,AOU checklist (1998 + supplements),,
22711750,Poecile cinctus,"Parus cinctus Boddaert, 1783",Parus,cinctus,"Boddaert, 1783",,
22711810,Lophophanes cristatus,"Parus cristatus Linnaeus, 1758",Parus,cristatus,"Linnaeus, 1758",,
22735985,Cyanistes cyanus,"Parus cyanus Pallas, 1770",Parus,cyanus,"Pallas, 1770",,
22716937,Curruca nisoria,"Sylvia nisoria (Bechstein, 1795)",Sylvia,nisoria,"(Bechstein, 1795)",,
22716937,Curruca nisoria,"Motacilla nisoria Bechstein, 1795",Motacilla,nisoria,"Bechstein, 1795",,
22716971,Curruca mystacea,"Sylvia mystacea Ménétries, 1832",Sylvia,mystacea,"Ménétries, 1832",,
22735017,Curruca sarda,"Sylvia sarda Temminck, 1820",Sylvia,sarda,"Temminck, 1820",,
22710881,Pastor roseus,"Sturnus roseus (Linnaeus, 1758)",Sturnus,roseus,"(Linnaeus, 1758)",,
22709701,Calliope calliope,"Luscinia calliope (Pallas, 1776)",Luscinia,calliope,"(Pallas, 1776)",,
22720532,Rhodospiza obsoleta,Rhodospiza obsoleta obsoleta Cramp and Simmons (1977-1994),Rhodospiza obsoleta,obsoleta,Cramp and Simmons (1977-1994),,
22720532,Rhodospiza obsoleta,Rhodopechys obsoleta,Rhodopechys obsoleta,,"Sibley and Monroe (1990, 1993)",,
22720532,Rhodospiza obsoleta,Rhodopechys obsoleta,Rhodopechys obsoleta,,BirdLife International (2004),,
22720532,Rhodospiza obsoleta,Rhodospiza obsoleta,Rhodospiza obsoleta,,AERC TAC (2003),,
22720532,Rhodospiza obsoleta,"Rhodopechys obsoletus (Lichtenstein, 1823)",Rhodopechys,obsoletus,"(Lichtenstein, 1823)",,
22694013,Vanellus indicus,"Hoplopterus indicus (Boddaert, 1783)",Hoplopterus,indicus,"(Boddaert, 1783)",,
22694013,Vanellus indicus,"Hoplopterus indicus ssp. indicus (Boddaert, 1783) — Cramp and Simmons (1977-1994)",Hoplopterus,indicus,,subspecies,"(Boddaert, 1783) — Cramp and Simmons (1977-1994)"
22680500,Turnix sylvaticus,Turnix sylvatica,Turnix sylvatica,,"Sibley and Monroe (1990, 1993)",,
22680500,Turnix sylvaticus,Turnix sylvatica,Turnix sylvatica,,Dowsett and Forbes-Watson (1993),,
22680500,Turnix sylvaticus,Turnix sylvatica,Turnix sylvatica,,Cramp and Simmons (1977-1994),,
22680500,Turnix sylvaticus,"Turnix sylvatica (Desfontaines, 1787) — BirdLife International (2004)",Turnix,sylvatica,"(Desfontaines, 1787) — BirdLife International (2004)",,
22678464,Mitu tomentosum,"Mitu tomentosa tomentosa Sibley and Monroe (1990, 1993)",Mitu tomentosa,tomentosa,"Sibley and Monroe (1990, 1993)",,
22678464,Mitu tomentosum,Crax tomentosa,Crax tomentosa,,Stotz et al. (1996),,
22678464,Mitu tomentosum,Crax tomentosa,Crax tomentosa,,BirdLife International (2004),,
22678472,Mitu salvini,Crax salvini,Crax salvini,,Stotz et al. (1996),,
22678472,Mitu salvini,Crax salvini,Crax salvini,,BirdLife International (2004),,
22678497,Pauxi pauxi,"Crax pauxi ssp. pauxi Linnaeus, 1766 — BirdLife International (2004)",Crax,pauxi,,subspecies,"Linnaeus, 1766 — BirdLife International (2004)"
22678497,Pauxi pauxi,"Crax pauxi ssp. pauxi Linnaeus, 1766 — Stotz <i>et al</i>. (1996)",Crax,pauxi,,subspecies,"Linnaeus, 1766 — Stotz <i>et al</i>. (1996)"
22678607,Megapodius decollatus,Megapodius affinis,Megapodius,affinis,,,
22678740,Peliperdix albogularis,"Francolinus albogularis Hartlaub, 1854",Francolinus,albogularis,"Hartlaub, 1854",,
22678744,Peliperdix schlegelii,"Francolinus schlegelii Heuglin, 1863",Francolinus,schlegelii,"Heuglin, 1863",,
22678748,Peliperdix lathami,"Francolinus lathami Hartlaub, 1854",Francolinus,lathami,"Hartlaub, 1854",,
22678752,Dendroperdix sephaena,"Francolinus sephaena (Smith, 1836)",Francolinus,sephaena,"(Smith, 1836)",,
22678756,Scleroptila streptophora,"Francolinus streptophorus Ogilvie-Grant, 1891",Francolinus,streptophorus,"Ogilvie-Grant, 1891",,
22678760,Scleroptila finschi,"Francolinus finschi Barboza du Bocage, 1881",Francolinus,finschi,"Barboza du Bocage, 1881",,
22678764,Scleroptila afra,"Francolinus africanus Stephens, 1819",Francolinus,africanus,"Stephens, 1819",,
22678764,Scleroptila afra,"Scleroptila africanus (Stephens, 1819)",Scleroptila,africanus,"(Stephens, 1819)",,
22678764,Scleroptila afra,"Perdix afra Latham, 1790",Perdix,afra,"Latham, 1790",,
22678769,Scleroptila levaillantii,"Francolinus levaillantii (Valenciennes, 1825)",Francolinus,levaillantii,"(Valenciennes, 1825)",,
22678790,Scleroptila gutturalis,"Francolinus gutturalis (Rüppell, 1835)",Francolinus,gutturalis,"(Rüppell, 1835)",,
22678790,Scleroptila gutturalis,"Francolinus levaillantoides (Smith, 1836)",Francolinus,levaillantoides,"(Smith, 1836)",,
22678799,Pternistis hartlaubi,"Francolinus hartlaubi Bocage, 1869",Francolinus,hartlaubi,"Bocage, 1869",,
22678803,Pternistis bicalcaratus,"Francolinus bicalcaratus (Linnaeus, 1766)",Francolinus,bicalcaratus,"(Linnaeus, 1766)",,
22678807,Pternistis clappertoni,"Francolinus clappertoni Children, 1826",Francolinus,clappertoni,"Children, 1826",,
22678811,Pternistis icterorhynchus,"Francolinus icterorhynchus Heuglin, 1863",Francolinus,icterorhynchus,"Heuglin, 1863",,
22678819,Pternistis adspersus,"Francolinus adspersus Waterhouse, 1838",Francolinus,adspersus,"Waterhouse, 1838",,
22678831,Pternistis natalensis,"Francolinus natalensis Smith, 1834",Francolinus,natalensis,"Smith, 1834",,
22678835,Pternistis ahantensis,"Francolinus ahantensis Temminck, 1851",Francolinus,ahantensis,"Temminck, 1851",,
22678839,Pternistis squamatus,"Francolinus squamatus Cassin, 1857",Francolinus,squamatus,"Cassin, 1857",,
22678843,Pternistis griseostriatus,"Francolinus griseostriatus Ogilvie-Grant, 1890",Francolinus,griseostriatus,"Ogilvie-Grant, 1890",,
22678847,Pternistis leucoscepus,"Francolinus leucoscepus (Gray, 1867)",Francolinus,leucoscepus,"(Gray, 1867)",,
22678851,Pternistis rufopictus,"Francolinus rufopictus Reichenow, 1867",Francolinus,rufopictus,"Reichenow, 1867",,
22678860,Pternistis swainsonii,"Francolinus swainsonii (Smith, 1836)",Francolinus,swainsonii,"(Smith, 1836)",,
22678896,Pternistis swierstrai,"Francolinus swierstrai (Roberts, 1929)",Francolinus,swierstrai,"(Roberts, 1929)",,
22678965,Synoicus ypsilophorus,"Synoicus ypsilophorus ssp. ypsilophorus (Bosc, 1792)",Synoicus,ypsilophorus,,subspecies,"(Bosc, 1792)"
22678965,Synoicus ypsilophorus,"Coturnix ypsilophora Bosc, 1792",Coturnix,ypsilophora,"Bosc, 1792",,
22678971,Synoicus adansonii,"Coturnix adansonii_old (Verreaux &amp; Verreaux, 1851)",Coturnix,adansonii_old,"(Verreaux &amp; Verreaux, 1851)",,
22678979,Synoicus chinensis,"Coturnix chinensis_old (Linnaeus, 1766)",Coturnix,chinensis_old,"(Linnaeus, 1766)",,
22679044,Arborophila javanica,"Tetrao javanicus Gmelin, 1789",Tetrao,javanicus,"Gmelin, 1789",,
22679094,Caloperdix oculeus,Caloperdix oculea,Caloperdix oculea,,BirdLife International (2000),,
22679094,Caloperdix oculeus,Caloperdix oculea,Caloperdix oculea,,BirdLife International (2004),,
22679094,Caloperdix oculeus,Caloperdix oculea,Caloperdix oculea,,"Sibley and Monroe (1990, 1993)",,
22679209,Gallus lafayettii,Gallus lafayettii,Gallus,lafayettii,,,
22679278,Lophura bulweri,"Lobiophasis bulweri Sharpe, 1874 — BirdLife International (2004)",Lobiophasis,bulweri,"Sharpe, 1874 — BirdLife International (2004)",,
22679278,Lophura bulweri,"Lobiophasis bulweri ssp. bulweri Sharpe, 1874 — BirdLife International (2001)",Lobiophasis,bulweri,,subspecies,"Sharpe, 1874 — BirdLife International (2001)"
22679340,Syrmaticus soemmerringii,Syrmaticus soemmerringi soemmerringi Collar and Andrew (1988),Syrmaticus soemmerringi,soemmerringi,Collar and Andrew (1988),,
22679483,Lyrurus mlokosiewiczi,"Tetrao mlokosiewiczi Taczanowski, 1875",Tetrao,mlokosiewiczi,"Taczanowski, 1875",,
22679491,Tetrao urogalloides,Tetrao parvirostris,Tetrao,parvirostris,,,
22679846,Cygnus melancoryphus,"Cygnus melanocorypha melanocorypha Sibley and Monroe (1990, 1993)",Cygnus melanocorypha,melanocorypha,"Sibley and Monroe (1990, 1993)",,
22679846,Cygnus melancoryphus,Cygnus melanocoryphus,Cygnus melanocoryphus,,BirdLife International (2004),,
22679846,Cygnus melancoryphus,Cygnus melanocoryphus,Cygnus melanocoryphus,,Stotz et al. (1996),,
22679869,Anser cygnoid,"Anser cygnoides (Linnaeus, 1758) [orth. error]",Anser,cygnoides,"(Linnaeus, 1758) [orth. error]",,
