"","grid_id","fortify_id","fdisp_orig","fdisp_HL","fdisp_WT","fdisp_HL_WT","fdisp_HL_null","fdisp_WT_null","fdisp_HL_WT_null","z_HL","z_WT","z_HL_WT","sr_orig","sr_HL","sr_WT","sr_HL_WT"
"605",605,"1",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"606",606,"2",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"654",654,"3",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"655",655,"4",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"658",658,"5",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"679",679,"6",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"680",680,"7",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"681",681,"8",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"723",723,"9",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"727",727,"10",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"728",728,"11",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"729",729,"12",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"752",752,"13",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"753",753,"14",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"754",754,"15",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"755",755,"16",0.0643554469424735,0.0643554469424735,0.0643554469424735,0.0643554469424735,0.0643554469424735,0.0643554469424735,0.0643554469424735,NA,NA,NA,2,2,2,2
"756",756,"17",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"795",795,"18",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"796",796,"19",1.42880168295003,1.42880168295003,1.42880168295003,1.42880168295003,1.42880168295003,1.42880168295003,1.42880168295003,NA,NA,NA,6,6,6,6
"797",797,"20",1.29514815256296,1.29514815256296,1.29514815256296,1.29514815256296,1.29514815256296,1.29514815256296,1.29514815256296,NA,NA,NA,7,7,7,7
"801",801,"21",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"802",802,"22",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"825",825,"23",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"826",826,"24",1.17713482075114,1.15935670932946,1.15935670932946,1.15935670932946,1.1492593170209,1.14848249127841,1.14135553441089,0.0710250473002369,0.0742150080463076,0.119385704230866,6,5,5,5
"827",827,"25",1.04764586323493,0.970887472128435,0.970887472128435,0.970887472128435,1.03123531556801,1.03352610032083,1.03270625748115,-0.455042154577523,-0.480973830486672,-0.464858083199161,8,7,7,7
"828",828,"26",1.69883827836324,1.69883827836324,1.69883827836324,1.69883827836324,1.69883827836324,1.69883827836324,1.69883827836324,NA,NA,NA,12,12,12,12
"829",829,"27",1.29702692641581,1.32055194386181,1.291218742147,1.32055194386181,1.29650753497119,1.29680525341675,1.29669202676274,0.272838168986855,-0.0860633011473657,0.265380704826191,29,27,28,27
"843",843,"28",0.818273937899876,0.818273937899876,0.818273937899876,0.818273937899876,0.818273937899876,0.818273937899876,0.818273937899876,NA,NA,NA,5,5,5,5
"844",844,"29",1.29577750631905,1.29577750631905,1.29577750631905,1.29577750631905,1.29577750631905,1.29577750631905,1.29577750631905,NA,NA,NA,11,11,11,11
"845",845,"30",1.20894631760762,1.20894631760762,1.20894631760762,1.20894631760762,1.20894631760762,1.20894631760762,1.20894631760762,NA,NA,NA,20,20,20,20
"846",846,"31",1.22150778505136,1.22150778505136,1.22150778505136,1.22150778505136,1.22150778505136,1.22150778505136,1.22150778505136,NA,NA,NA,19,19,19,19
"867",867,"32",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"869",869,"33",1.42880168295003,1.42880168295003,1.42880168295003,1.42880168295003,1.42880168295003,1.42880168295003,1.42880168295003,NA,NA,NA,6,6,6,6
"870",870,"34",1.26654589649246,1.26654589649246,1.26654589649246,1.26654589649246,1.26654589649246,1.26654589649246,1.26654589649246,NA,NA,NA,11,11,11,11
"874",874,"35",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"884",884,"36",0,NA,0,NA,NA,0,NA,NA,NA,NA,1,0,1,0
"898",898,"37",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"899",899,"38",1.72299980701332,1.78055550592036,1.78055550592036,1.78055550592036,1.71972521962862,1.72207493111687,1.72992537753919,0.37083962977395,0.364444815082565,0.343695070355615,13,12,12,12
"900",900,"39",1.70712200211841,1.76010722727478,1.76010722727478,1.76010722727478,1.70639049872415,1.70324234376711,1.70032019802038,0.331001709794519,0.347989492466934,0.353833642440731,13,12,12,12
"901",901,"40",1.37867660531753,1.38980465529546,1.38980465529546,1.38980465529546,1.37633826724501,1.37587841014095,1.37941067403743,0.165735075753881,0.176154332012685,0.132549179848927,41,37,37,37
"902",902,"41",1.32306310318337,1.35698282829872,1.3240011598766,1.35698282829872,1.31946535388639,1.32376512372729,1.31955132422537,0.482380615518922,0.00386028668005825,0.473416252520219,52,46,48,46
"903",903,"42",1.27777913445825,1.21753226262903,1.29473407698222,1.21753226262903,1.27771147153088,1.27554251488671,1.27841279131139,-0.778671684262717,0.372341034729711,-0.802759149396598,56,49,53,49
"915",915,"43",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"916",916,"44",0.737004945299072,0.737004945299072,0.737004945299072,0.737004945299072,0.737004945299072,0.737004945299072,0.737004945299072,NA,NA,NA,4,4,4,4
"917",917,"45",0.613216999871383,0.613216999871383,0.613216999871383,0.613216999871383,0.613216999871383,0.613216999871383,0.613216999871383,NA,NA,NA,6,6,6,6
"918",918,"46",1.12944315713159,1.12944315713159,1.12944315713159,1.12944315713159,1.12944315713159,1.12944315713159,1.12944315713159,NA,NA,NA,20,20,20,20
"919",919,"47",1.15166940343628,1.15166940343628,1.15166940343628,1.15166940343628,1.15166940343628,1.15166940343628,1.15166940343628,NA,NA,NA,24,24,24,24
"921",921,"48",1.34871150537496,1.34871150537496,1.34871150537496,1.34871150537496,1.34871150537496,1.34871150537496,1.34871150537496,NA,NA,NA,4,4,4,4
"922",922,"49",1.14241672946512,1.14241672946512,1.14241672946512,1.14241672946512,1.14241672946512,1.14241672946512,1.14241672946512,NA,NA,NA,6,6,6,6
"942",942,"50",1.5482391137424,1.5482391137424,1.5482391137424,1.5482391137424,1.5482391137424,1.5482391137424,1.5482391137424,NA,NA,NA,5,5,5,5
"943",943,"51",1.26654589649246,1.26654589649246,1.26654589649246,1.26654589649246,1.26654589649246,1.26654589649246,1.26654589649246,NA,NA,NA,11,11,11,11
"950",950,"52",0.470107728906623,0.470107728906623,0.470107728906623,0.470107728906623,0.470107728906623,0.470107728906623,0.470107728906623,NA,NA,NA,4,4,4,4
"951",951,"53",0.470107728906623,0.470107728906623,0.470107728906623,0.470107728906623,0.470107728906623,0.470107728906623,0.470107728906623,NA,NA,NA,4,4,4,4
"954",954,"54",0.561144843040483,0.561144843040483,0.561144843040483,0.561144843040483,0.561144843040483,0.561144843040483,0.561144843040483,NA,NA,NA,2,2,2,2
"960",960,"55",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"972",972,"56",1.29417140049216,1.28087349159435,1.28087349159435,1.28087349159435,1.2876984363762,1.28400880714122,1.28305617016546,-0.0779976512301316,-0.0339221703615346,-0.0238333432812143,9,8,8,8
"973",973,"57",1.64350355611931,1.55425801506109,1.55425801506109,1.55425801506109,1.63500789391067,1.63638064060987,1.63791665544374,-0.582758371147582,-0.591535351107329,-0.619698498161781,19,17,17,17
"974",974,"58",1.5164293598257,1.55280850127258,1.42279737199337,1.43067916212251,1.50910355352548,1.50914658480642,1.51123875758628,0.484604593944706,-0.952512339945345,-0.824305363938095,47,40,40,39
"975",975,"59",1.42800194798668,1.4624613679538,1.45699625551969,1.4624613679538,1.429570807321,1.42546085194365,1.42587526181173,0.480449961979155,0.51103290592247,0.51770621035995,55,49,50,49
