"","grid_id","fortify_id","fdisp_orig","fdisp_HL","fdisp_WT","fdisp_HL_WT","fdisp_HL_null","fdisp_WT_null","fdisp_HL_WT_null","z_HL","z_WT","z_HL_WT","sr_orig","sr_HL","sr_WT","sr_HL_WT"
"15268",15268,"1",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"15269",15269,"2",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"15510",15510,"3",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"15511",15511,"4",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"15628",15628,"5",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"15629",15629,"6",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"15630",15630,"7",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"15631",15631,"8",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"15870",15870,"9",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"15871",15871,"10",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"15872",15872,"11",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"15873",15873,"12",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"15874",15874,"13",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"15990",15990,"14",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"15991",15991,"15",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"15992",15992,"16",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"15993",15993,"17",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"16231",16231,"18",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"16232",16232,"19",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"16233",16233,"20",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"16234",16234,"21",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"16235",16235,"22",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"16249",16249,"23",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"16352",16352,"24",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"16353",16353,"25",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"16354",16354,"26",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"16593",16593,"27",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"16594",16594,"28",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"16595",16595,"29",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"16596",16596,"30",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"16597",16597,"31",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"16610",16610,"32",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"16712",16712,"33",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"16713",16713,"34",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"16714",16714,"35",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"16715",16715,"36",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
